IDN5,NM5
817589,Horná Streda
817597,Horná Strehová
817627,Horná Súča
817708,Horná Štubňa
817783,Horná Tižina
817791,Horná Trnávka
817805,Horná Ves
817830,Horná Ves
817848,Horná Ždaňa
817856,Horňany
817864,Horné Držkovce
817872,Horné Dubové
817881,Horné Hámre
817970,Horné Chlebany
817988,Turčianske Jaseno
817996,Horné Lefantovce
818011,Horné Mladonice
818046,Horné Naštice
818089,Horné Obdokovce
818097,Horné Orešany
818127,Horné Otrokovce
818135,Horné Ozorovce
818143,Horné Plachtince
818160,Horné Pršany
818178,Horné Saliby
818194,Horné Semerovce
818216,Horné Srnie
818232,Horné Strháre
818241,Horné Štitáre
818259,Horné Trhovište
818275,Horné Turovce
818283,Horné Vestenice
818291,Horné Zahorany
818313,Horné Zelenice
818321,Horný Badín
818330,Bodíky
818356,Horný Bar
818364,Šuľany
818381,Horný Hričov
818399,Horný Kalník
818402,Horný Lieskov
818411,Horný Moštenec
818429,Horný Ohaj
818437,Horný Pial
818453,Horný Tisovník
818526,Horný Vadičov
818551,Horovce
818577,Horovce
818585,Horša
818607,Hoste
818615,Hostice
818631,Hostie
818640,Panský diel
818658,Hostišovce
818674,Hosťová
818682,Hosťovce
818704,Hostovice
818712,Hoštiná
818721,Hozelec
818763,Hrabičov
818801,Hrabkov
818810,Hrabová Roztoka
818828,Hrabovčík
818836,Hrabové
818844,Hrabovec
818852,Hrabovec nad Laborcom
818861,Hrabovka
818887,Hrabské
818909,Hrabušice
818941,Hradisko
818950,Hradisko
818968,Hradište
818984,Hradište
819000,Hradište pod Vrátnom
819018,Hrádok
819042,Hrachovište
819051,Hrachovo
819069,Hraň
819085,Kechnec
819107,Milhosť
819123,Hraničné
819131,Hranovnica
819158,Hrašné
819212,Hrašovík
819221,Hrboltová
819247,Hrčeľ
819255,Hrhov
819263,Hriadky
819271,Hričovské Podhradie
819298,Hriňová
819441,Hrišovce
819450,Hrkovce
819468,Hrlica
819476,Hrnčiarovce
819514,Pondelok
819531,Veľká Suchá
819549,Hrnčiarske Zalužany
819557,Dolný Štál
819565,Horný Štál
819581,Tône
819603,Hrochoť
819620,Hromoš
819662,Hronec
819671,Brusno
819701,Čajakovo
819719,Domaša
819735,Vozokany nad Hronom
819743,Hronsek
819760,Hronská Breznica
819786,Hronská Dúbrava
819794,Hronské Kľačany
819808,Hronské Kosihy
819816,Hronský Beňadik
819824,Hrubá Borša
819832,Suľany
819841,Výčapky
819859,Hrubov
819867,Hrubý Šúr
819883,Hrušov
819972,Hrušov
819981,Hrušovany
819999,Hrušovo
820008,Ostrany
820016,Striežovce
820024,Hruštín
820032,Hubice
820041,Hubina
820059,Hubošovce
820075,Hubová
820083,Hubovo
820091,Hucín
820105,Hudcovce
820113,Hul
820121,Humenné
820369,Humenský Rokytov
820385,Huncovce
820393,Hunkovce
820407,Hurbanova Ves
820423,Hurbanovo
820482,Husák
820491,Husiná
820539,Hutka
820547,Bočiar
820555,Sokoľany
820563,Huty
820571,Hviezdoslavov
820598,Hvozdnica
820610,Hybe
820636,Hýľov
820644,Chanava
820661,Chľaba
820679,Chlebnice
820687,Chlmec
820695,Chmeľnica
820709,Chmeľov
820725,Chmeľová
820733,Chmeľovec
820750,Chmiňany
820776,Chminianska Nová Ves
820784,Chminianske Jakubovany
820792,Choča
820831,Chocholná-Velčice
820849,Choňkovce
820865,Chorvátsky Grob
820873,Chotča
820881,Chotín
820903,Chrabrany
820911,Chrámec
820938,Chrasť nad Hornádom
820946,Chrastince
820954,Chrastné
820962,Malé Chrašťany
820971,Veľké Chrašťany
820989,Brusno
820997,Chrenovec
821004,Chropov
821012,Chrťany
821039,Chtelnica
821047,Chudá Lehota
821055,Chvalová
821063,Chvojnica
821071,Chvojnica
821098,Chynorany
821110,Chyžné
821128,Igram
821136,Majerka
821144,Stotince
821152,Ihráč
821161,Ihrište
821179,Iľanovo
821187,Ilava
821209,Iliašovce
821225,Ilija
821241,Imeľ
821250,Iňa
821276,Iňačovce
821284,Inovce
821292,Ipeľské Predmostie
821306,Ipeľské Úľany
821357,Ipeľský Potok
821373,Ipeľský Sokolec
821390,Istebné
821403,Ivachnová
821411,Ivančiná
821420,Ivanice
821438,Farná
821446,Ivanka pri Dunaji
821454,Ivanka pri Nitre
821471,Ivanovce
821501,Iža
821519,Ižipovce
821527,Ižkovce
821535,Ižop
857378,Spišská Belá
857386,Spišská Nová Ves
857581,Spišská Stará Ves
857599,Spišská Teplica
857611,Spišské Bystré
857629,Spišské Hanušovce
857645,Spišské Podhradie
857670,Spišské Tomášovce
857696,Spišské Vlachy
857726,Spišský Hrhov
857734,Spišský Hrušov
857751,Spišský Štiavnik
857777,Spišský Štvrtok
857785,Srňacie
857793,Stakčínska Roztoka
857807,Stakčín
857823,Stankovany
857840,Stankovce
857858,Stará Bašta
857921,Stará Bystrica
857939,Stará Halič
857971,Stará Huta
858048,Stará Kremnička
871800,Bystrická hora
871818,Hrubé lúky
871826,Záhorská Ves
871834,Záhradné
871851,Zacharovce
871915,Zaježová
871940,Zákamenné
872253,Zákopčie
872261,Zalaba
872270,Zálesie
872296,Zálesie
872300,Zamarovce
872326,Zámutov
872342,Záriečie
872369,Záskalie
872377,Zástranie
872393,Zatín
872407,Záturčie
872423,Závada
872431,Trenčianska Závada
872440,Závada
872458,Závada
872466,Závada
872482,Závada pod Čiernym vrchom
872491,Závadka
872504,Závadka
821551,Jabloň
